source,action,count,success_count
result-allocator-v1-0725_action_counts.csv,postcondition_repair,118,
result-allocator-v1-0725_action_counts.csv,case_analysis,113,
result-allocator-v1-0725_action_counts.csv,nonlinear_arithmetic,56,
result-allocator-v1-0725_action_counts.csv,reveal_with_fuel,48,
result-allocator-v1-0725_action_counts.csv,compute,25,
result-allocator-v1-0725_action_counts.csv,bit_vector_reasoning,29,
result-allocator-v1-0725_action_counts.csv,inductive_lemma,28,
result-allocator-v1-0725_action_counts.csv,induction,58,
result-allocator-v1-0725_action_counts.csv,instantiate_forall,33,
result-allocator-v1-0725_action_counts.csv,instantiate_exists,44,
result-allocator-v1-0725_action_counts.csv,Unknown,16,
result-allocator-v1-0725_action_counts.csv,reveal_opaque,15,
result-allocator-v1-0725_action_counts.csv,seqsetmap,19,
result-allocator-v1-0725_action_counts.csv,loopinv,6,
result-allocator-v1-0725_action_counts.csv,extensional_equality,13,
result-allocator-v1-0725_action_counts.csv,invariant_end_repair,3,
result-allocator-v1-0725_action_counts.csv,arithmetic_overflow_repair,17,
result-allocator-v1-0725_action_counts.csv,precondition_repair,6,
result-allocator-v1-0725_action_counts.csv,fallback_llm_repair,2,
result-allocator-v1-0725_action_counts.csv,invariant_front_repair,1,
result-allocator-v1-0725_action_counts.csv,add_trigger_assert,4,
result-allocator-v1-0727-lemma_action_counts.csv,postcondition_repair,105,
result-allocator-v1-0727-lemma_action_counts.csv,case_analysis,74,
result-allocator-v1-0727-lemma_action_counts.csv,compute,20,
result-allocator-v1-0727-lemma_action_counts.csv,reveal_with_fuel,45,
result-allocator-v1-0727-lemma_action_counts.csv,inductive_lemma,9,
result-allocator-v1-0727-lemma_action_counts.csv,induction,36,
result-allocator-v1-0727-lemma_action_counts.csv,instantiate_forall,43,
result-allocator-v1-0727-lemma_action_counts.csv,bit_vector_reasoning,23,
result-allocator-v1-0727-lemma_action_counts.csv,nonlinear_arithmetic,49,
result-allocator-v1-0727-lemma_action_counts.csv,uselemma,27,
result-allocator-v1-0727-lemma_action_counts.csv,loopinv,11,
result-allocator-v1-0727-lemma_action_counts.csv,fallback_llm_repair,5,
result-allocator-v1-0727-lemma_action_counts.csv,Unknown,15,
result-allocator-v1-0727-lemma_action_counts.csv,instantiate_exists,22,
result-allocator-v1-0727-lemma_action_counts.csv,add_trigger_assert,7,
result-allocator-v1-0727-lemma_action_counts.csv,extensional_equality,12,
result-allocator-v1-0727-lemma_action_counts.csv,arithmetic_overflow_repair,23,
result-allocator-v1-0727-lemma_action_counts.csv,reveal_opaque,5,
