model,project,file,status,failed_total_tokens,peer_model,peer_tokens,peer_attempts,peer_action_seq,log_path,peer_log_path
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_delete_pod_resp_to_receive_delete_pod_resp.rs,TIMEOUT,5888969,claude,1726940,17,postcondition_repair postcondition_repair postcondition_repair USELEMMA INSTANTIATE_EXISTS precondition_repair precondition_repair PRECONDITION_REPAIR EXTENSIONAL_EQUALITY INSTANTIATE_EXISTS precondition_repair precondition_repair,all_batch_results-cyy-claude-s4/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_delete_pod_resp_to_receive_delete_pod_resp-20251202-232443/verus-repair.log,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_delete_pod_resp_to_receive_delete_pod_resp-20251130-225413/verus-repair.log
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_create_pod_resp_to_receive_create_pod_resp.rs,TIMEOUT,5684155,gpt5,340012,4,postcondition_repair USELEMMA INSTANTIATE_EXISTS,all_batch_results-cyy-claude-s4/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_create_pod_resp_to_receive_create_pod_resp-20251202-225443/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_create_pod_resp_to_receive_create_pod_resp-20251126-033235/verus-repair.log
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_delete_pod_resp.rs,FAILED,5030323,claude,650642,7,postcondition_repair USELEMMA INSTANTIATE_EXISTS precondition_repair INSTANTIATE_EXISTS INSTANTIATE_EXISTS,all_batch_results-cyy-claude-s4/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_delete_pod_resp-20251203-003913/verus-repair.log,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_delete_pod_resp-20251130-234500/verus-repair.log
claude-s4,NR,NR__spec_t__os_invariant__next_step_preserves_inv_shootdown.rs,FAILED,3420018,claude,1165012,8,postcondition_repair USELEMMA CASE_ANALYSIS CASE_ANALYSIS CASE_ANALYSIS CASE_ANALYSIS USELEMMA,all_batch_results-cyy-claude-s4/results-batch_006/o-NR__spec_t__os_invariant__next_step_preserves_inv_shootdown-20251203-221218/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-NR__spec_t__os_invariant__next_step_preserves_inv_shootdown-20251202-010511/verus-repair.log
gpt5,AC,AC__vreplicaset_controller__proof__liveness__proof__spec_before_phase_n_entails_true_leads_to_current_state_matches.rs,TIMEOUT,3285413,claude,1367139,15,postcondition_repair USELEMMA postcondition_repair POSTCONDITION_REPAIR POSTCONDITION_REPAIR POSTCONDITION_REPAIR USELEMMA precondition_repair POSTCONDITION_REPAIR ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT USELEMMA,all_batch_results-cyy-gpt5/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__proof__spec_before_phase_n_entails_true_leads_to_current_state_matches-20251126-023235/verus-repair.log,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__proof__spec_before_phase_n_entails_true_leads_to_current_state_matches-20251130-214651/verus-repair.log
gpt5,NR,NR__spec_t__os_invariant__next_step_preserves_inv_shootdown.rs,TIMEOUT,3131759,claude,1165012,8,postcondition_repair USELEMMA CASE_ANALYSIS CASE_ANALYSIS CASE_ANALYSIS CASE_ANALYSIS USELEMMA,all_batch_results-cyy-gpt5/results-batch_006/o-NR__spec_t__os_invariant__next_step_preserves_inv_shootdown-20251128-054648/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-NR__spec_t__os_invariant__next_step_preserves_inv_shootdown-20251202-010511/verus-repair.log
o4mini,AC,AC__vreplicaset_controller__proof__guarantee__guarantee_condition_holds.rs,TIMEOUT,3059946,gpt5,636345,9,postcondition_repair USELEMMA precondition_repair INSTANTIATE_FORALL INSTANTIATE_FORALL CASE_ANALYSIS INSTANTIATE_EXISTS CASE_ANALYSIS,all_batch_results-cyy-o4mini/results-batch_001/o-AC__vreplicaset_controller__proof__guarantee__guarantee_condition_holds-20251125-165508/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_001/o-AC__vreplicaset_controller__proof__guarantee__guarantee_condition_holds-20251125-170806/verus-repair.log
claude,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_create_pod_resp_to_receive_create_pod_resp.rs,FAILED,2811195,gpt5,340012,4,postcondition_repair USELEMMA INSTANTIATE_EXISTS,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_create_pod_resp_to_receive_create_pod_resp-20251130-222602/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_create_pod_resp_to_receive_create_pod_resp-20251126-033235/verus-repair.log
claude-s4,OS,OS__kernel__create_and_share_pages__impl0__share_mapping.rs,FAILED,2643377,gpt5,230800,5,postcondition_repair precondition_repair USELEMMA CASE_ANALYSIS,all_batch_results-cyy-claude-s4/results-batch_006/o-OS__kernel__create_and_share_pages__impl0__share_mapping-20251204-040451/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_006/o-OS__kernel__create_and_share_pages__impl0__share_mapping-20251128-172911/verus-repair.log
o4mini,AC,AC__vreplicaset_controller__proof__liveness__api_actions__lemma_list_pods_request_returns_ok_list_resp_containing_matching_pods.rs,TIMEOUT,2492007,claude,1511301,14,postcondition_repair EXTENSIONAL_EQUALITY SEQSETMAP CASE_ANALYSIS CASE_ANALYSIS SEQSETMAP CASE_ANALYSIS SEQSETMAP SEQSETMAP EXTENSIONAL_EQUALITY ADD_TRIGGER_ASSERT CASE_ANALYSIS,all_batch_results-cyy-o4mini/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_list_pods_request_returns_ok_list_resp_containing_matching_pods-20251126-001055/verus-repair.log,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_list_pods_request_returns_ok_list_resp_containing_matching_pods-20251130-202546/verus-repair.log
o4mini,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_create_pod_resp.rs,TIMEOUT,2483597,claude,1309059,15,postcondition_repair USELEMMA INSTANTIATE_EXISTS postcondition_repair USELEMMA precondition_repair precondition_repair precondition_repair precondition_repair precondition_repair precondition_repair precondition_repair,all_batch_results-cyy-o4mini/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_create_pod_resp-20251126-042309/verus-repair.log,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_create_pod_resp-20251130-233635/verus-repair.log
o4mini,AC,AC__vreplicaset_controller__proof__liveness__api_actions__lemma_get_then_delete_matching_pod_request_deletes_matching_pod_and_returns_ok.rs,TIMEOUT,2402353,claude,1469439,13,postcondition_repair EXTENSIONAL_EQUALITY ADD_TRIGGER_ASSERT SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP NONLINEAR_ARITHMETIC USELEMMA EXTENSIONAL_EQUALITY USELEMMA,all_batch_results-cyy-o4mini/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_get_then_delete_matching_pod_request_deletes_matching_pod_and_returns_ok-20251125-234055/verus-repair.log,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_get_then_delete_matching_pod_request_deletes_matching_pod_and_returns_ok-20251130-201604/verus-repair.log
o4mini,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_delete_pod_resp.rs,TIMEOUT,2398030,claude,650642,7,postcondition_repair USELEMMA INSTANTIATE_EXISTS precondition_repair INSTANTIATE_EXISTS INSTANTIATE_EXISTS,all_batch_results-cyy-o4mini/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_delete_pod_resp-20251126-045309/verus-repair.log,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_delete_pod_resp-20251130-234500/verus-repair.log
claude-s4,AC,AC__vreplicaset_controller__proof__guarantee__guarantee_condition_holds.rs,FAILED,2337804,gpt5,636345,9,postcondition_repair USELEMMA precondition_repair INSTANTIATE_FORALL INSTANTIATE_FORALL CASE_ANALYSIS INSTANTIATE_EXISTS CASE_ANALYSIS,all_batch_results-cyy-claude-s4/results-batch_001/o-AC__vreplicaset_controller__proof__guarantee__guarantee_condition_holds-20251202-171522/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_001/o-AC__vreplicaset_controller__proof__guarantee__guarantee_condition_holds-20251125-170806/verus-repair.log
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__proof__spec_before_phase_n_entails_true_leads_to_current_state_matches.rs,FAILED,2336987,claude,1367139,15,postcondition_repair USELEMMA postcondition_repair POSTCONDITION_REPAIR POSTCONDITION_REPAIR POSTCONDITION_REPAIR USELEMMA precondition_repair POSTCONDITION_REPAIR ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT USELEMMA,all_batch_results-cyy-claude-s4/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__proof__spec_before_phase_n_entails_true_leads_to_current_state_matches-20251202-222645/verus-repair.log,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__proof__spec_before_phase_n_entails_true_leads_to_current_state_matches-20251130-214651/verus-repair.log
o4mini,AC,AC__vreplicaset_controller__proof__liveness__proof__spec_before_phase_n_entails_true_leads_to_current_state_matches.rs,TIMEOUT,2259355,claude,1367139,15,postcondition_repair USELEMMA postcondition_repair POSTCONDITION_REPAIR POSTCONDITION_REPAIR POSTCONDITION_REPAIR USELEMMA precondition_repair POSTCONDITION_REPAIR ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT USELEMMA,all_batch_results-cyy-o4mini/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__proof__spec_before_phase_n_entails_true_leads_to_current_state_matches-20251126-020012/verus-repair.log,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__proof__spec_before_phase_n_entails_true_leads_to_current_state_matches-20251130-214651/verus-repair.log
