threshold,model,project,file,gate_attempt,repeated_error,repeated_action,top_peer_action_at_same_index,votes,peer_successes,peer_models,different_from_repeated_action,effective_total_tokens,log_path
8,claude-s4,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_delete_pod_resp_to_receive_delete_pod_resp.rs,10,AssertFail,USELEMMA,INSTANTIATE_EXISTS,1,1,claude,1,5888969,all_batch_results-cyy-claude-s4/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_delete_pod_resp_to_receive_delete_pod_resp-20251202-232443/verus-repair.log
8,claude-s4,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_create_pod_resp_to_receive_create_pod_resp.rs,8,PostCondFail,postcondition_repair,INSTANTIATE_EXISTS,1,1,gpt5,1,5684155,all_batch_results-cyy-claude-s4/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_create_pod_resp_to_receive_create_pod_resp-20251202-225443/verus-repair.log
8,claude-s4,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_delete_pod_resp.rs,8,PostCondFail,postcondition_repair,INSTANTIATE_EXISTS,2,2,claude gpt5,1,5030323,all_batch_results-cyy-claude-s4/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_delete_pod_resp-20251203-003913/verus-repair.log
8,gpt5,AC,AC__vreplicaset_controller__proof__liveness__proof__spec_before_phase_n_entails_true_leads_to_current_state_matches.rs,12,AssertFail,COMPUTE,USELEMMA,1,1,claude,1,3285413,all_batch_results-cyy-gpt5/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__proof__spec_before_phase_n_entails_true_leads_to_current_state_matches-20251126-023235/verus-repair.log
8,gpt5,NR,NR__spec_t__os_invariant__next_step_preserves_inv_shootdown.rs,13,AssertFail,CASE_ANALYSIS,USELEMMA,1,1,claude,1,3131759,all_batch_results-cyy-gpt5/results-batch_006/o-NR__spec_t__os_invariant__next_step_preserves_inv_shootdown-20251128-054648/verus-repair.log
8,o4mini,AC,AC__vreplicaset_controller__proof__guarantee__guarantee_condition_holds.rs,18,AssertFail,CASE_ANALYSIS,CASE_ANALYSIS,2,2,claude gpt5,0,3059946,all_batch_results-cyy-o4mini/results-batch_001/o-AC__vreplicaset_controller__proof__guarantee__guarantee_condition_holds-20251125-165508/verus-repair.log
8,claude,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_create_pod_resp_to_receive_create_pod_resp.rs,10,PreCondFail,precondition_repair,INSTANTIATE_EXISTS,1,1,gpt5,1,2811195,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_create_pod_resp_to_receive_create_pod_resp-20251130-222602/verus-repair.log
8,claude-s4,OS,OS__kernel__create_and_share_pages__impl0__share_mapping.rs,17,AssertFail,ADD_TRIGGER_ASSERT,CASE_ANALYSIS,1,2,gpt5 o4mini,1,2643377,all_batch_results-cyy-claude-s4/results-batch_006/o-OS__kernel__create_and_share_pages__impl0__share_mapping-20251204-040451/verus-repair.log
8,o4mini,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_create_pod_resp.rs,16,PreCondFail,precondition_repair,INSTANTIATE_EXISTS,1,1,claude,1,2483597,all_batch_results-cyy-o4mini/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_create_pod_resp-20251126-042309/verus-repair.log
8,o4mini,AC,AC__vreplicaset_controller__proof__liveness__api_actions__lemma_get_then_delete_matching_pod_request_deletes_matching_pod_and_returns_ok.rs,14,AssertFail,SEQSETMAP,USELEMMA,1,2,claude claude-s4,1,2402353,all_batch_results-cyy-o4mini/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_get_then_delete_matching_pod_request_deletes_matching_pod_and_returns_ok-20251125-234055/verus-repair.log
8,o4mini,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_delete_pod_resp.rs,8,PostCondFail,postcondition_repair,INSTANTIATE_EXISTS,2,2,claude gpt5,1,2398030,all_batch_results-cyy-o4mini/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_delete_pod_resp-20251126-045309/verus-repair.log
8,claude-s4,AC,AC__vreplicaset_controller__proof__guarantee__guarantee_condition_holds.rs,18,AssertFail,CASE_ANALYSIS,CASE_ANALYSIS,2,2,claude gpt5,0,2337804,all_batch_results-cyy-claude-s4/results-batch_001/o-AC__vreplicaset_controller__proof__guarantee__guarantee_condition_holds-20251202-171522/verus-repair.log
