threshold,model,project,file,status,gate_attempt,pair_error,pair_action,estimated_saved_tokens,effective_total_tokens,log_path
2,gpt5,OS,OS__process_manager__impl_new_container__impl0__new_container_with_endpoint.rs,TIMEOUT,2,PostCondFail,postcondition_repair,1544594,1573407,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__impl_new_container__impl0__new_container_with_endpoint-20251129-121442/verus-repair.log
2,gpt5,OS,OS__process_manager__impl_base__impl0__block_running_thread_and_change_queue_state.rs,TIMEOUT,3,PostCondFail,postcondition_repair,1526129,1565432,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__impl_base__impl0__block_running_thread_and_change_queue_state-20251129-073601/verus-repair.log
2,gpt5,OS,OS__pagetable__pagetable_impl_base__impl0__map_4k_page.rs,TIMEOUT,4,AssertFail,INSTANTIATE_FORALL,1521853,1619364,all_batch_results-cyy-gpt5/results-batch_007/o-OS__pagetable__pagetable_impl_base__impl0__map_4k_page-20251129-012915/verus-repair.log
2,gpt5,OS,OS__process_manager__impl_base__impl0__set_container_mem_quota_mem_4k.rs,TIMEOUT,2,PostCondFail,postcondition_repair,1438109,1454500,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__impl_base__impl0__set_container_mem_quota_mem_4k-20251129-104442/verus-repair.log
2,gpt5,OS,OS__process_manager__impl_base__impl0__run_blocked_thread.rs,TIMEOUT,3,PostCondFail,postcondition_repair,1325183,1363400,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__impl_base__impl0__run_blocked_thread-20251129-094442/verus-repair.log
2,gpt5,OS,OS__process_manager__impl_base__impl0__block_running_thread.rs,TIMEOUT,5,AssertFail,INSTANTIATE_FORALL,1272761,1413927,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__impl_base__impl0__block_running_thread-20251129-070601/verus-repair.log
2,gpt5,OS,OS__pagetable__pagetable_impl_base__impl0__remove_l2_entry.rs,TIMEOUT,2,PostCondFail,postcondition_repair,1271535,1289981,all_batch_results-cyy-gpt5/results-batch_007/o-OS__pagetable__pagetable_impl_base__impl0__remove_l2_entry-20251129-015915/verus-repair.log
2,gpt5,OS,OS__process_manager__impl_base__impl0__new_endpoint.rs,TIMEOUT,2,PostCondFail,postcondition_repair,1268298,1287021,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__impl_base__impl0__new_endpoint-20251129-084442/verus-repair.log
2,gpt5,OS,OS__pagetable__pagetable_impl_base__impl0__map_2m_page.rs,TIMEOUT,5,PreCondFail,precondition_repair,1248425,1400049,all_batch_results-cyy-gpt5/results-batch_007/o-OS__pagetable__pagetable_impl_base__impl0__map_2m_page-20251129-005915/verus-repair.log
2,gpt5,OS,OS__process_manager__impl_kill_proc__impl0__kill_process_none_root.rs,TIMEOUT,5,PostCondFail,postcondition_repair,1200410,1359723,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__impl_kill_proc__impl0__kill_process_none_root-20251129-114442/verus-repair.log
